protein,ece_raw,ece_cal,brier_raw,brier_cal
AICDA_HUMAN,0.14581022005872188,0.16975992314279778,0.2356861081072402,0.24002119017101428
BLAT_ECOLX,0.05538513221196225,0.05069797544937515,0.21340397777581094,0.21324912035232615
CCDB_ECOLI,0.13796728259952268,0.13234836977566516,0.1960565619552247,0.1948434106106643
GFP_AEQVI,0.22349766715231517,0.2487143227677218,0.27753409523720046,0.28916847934849316
NUD15_HUMAN,0.10134734023221471,0.09487340337655033,0.19868250418802685,0.19713327710742723
POLG_CXB3N,0.11928920740834828,0.12161315600681878,0.24934463251192862,0.24943022664031816
PTEN_HUMAN,0.033669004752784,0.05332965900232485,0.2092894936995602,0.21072240183837496
SPG1_STRSG,0.16821735034212573,0.18777415680286816,0.2580489438693222,0.26635467345548336
UBC9_HUMAN,0.07741249247010629,0.07821474798614472,0.2109280987470733,0.21269597059768808
MEAN,0.11806618858090011,0.12636952381225186,0.22766382401015417,0.23040208334686552

# Aggregate cross-protein ECE: raw=0.0500 isotonic=0.0622 platt=0.0673
# Finding: raw GBM probabilities best-calibrated; cross-protein post-hoc calibration does not transfer.
